Título,URL,Descrição,Palavras-chave,Habilidade(s) - BNCC,Tipos de Mídias,Disciplina,Temas Curriculares,Temas Transversais,"Etapas, anos e modalidades",Licenças de Uso,Idioma,Acessibilidade,Conectividade,Oferecido por,Produzido por,Etnias indígenas,Anos escolar,ID (não editar)
"Benito Cereno (parte 3), de Herman Melville",http://www.manythings.org/voa/stories/Benito_Cereno_-_Part_3_-_By_Herman_Melville.html,"American Stories for English Learners apresenta contos, fábulas e histórias americanas de autores consagrados como Edgar Allan Poe e Mark Twain. O site traz os textos escritos e sua gravação em MP3, com duração aproximada de 15 minutos. O conto ""Benito Cereno"", de Herman Melville, publicado em 1855, conta a história do capitão do navio San Dominick. A terceira e última parte começa após o relato de Benito Cereno sobre os acontecimentos que levaram seu navio e sua tripulação ao estado em que se encontravam.","compreensão oral, compreensão de texto, literatura americana","EF08LI06, EF08LI07, EF08LI18",audio,Lingua inglesa,prática de leitura; a colonização na america resulta na escravidão na áfrica,literatura; étnico racial; direitos humanos,Ensino Fundamental,Copyright,inglês,Transcrição textual,Online; offline (download),,Charles Kelly e Lawrence Kelly,,8º ano,56e59cf969702d1753c51000
"The diamond lens (parte 1), de Fitz-James O'Brien","http://www.manythings.org/voa/stories/The_Diamond_Lens_-_By_Fitz-James_O_Brien,_Part_1.html","American Stories for English Learners apresenta contos, fábulas e histórias americanas de autores consagrados como Edgar Allan Poe e Mark Twain. O site traz os textos escritos e sua gravação em MP3, com duração aproximada de 15 minutos. O conto ""The diamond lens"", de Fitz-James O'Brien, publicado em 1858, conta a história de um cientista que inventa um microscópio poderoso e descobre uma linda mulher que vive num mundo microscópico dentro de uma gota de água. A parte 1 descreve os esforços do narrador (o cientista) para criar as lentes perfeitas para o microscópio.","compreensão oral, compreensão de texto, literatura americana","EF08LI06, EF08LI07, EF08LI18",audio,Lingua inglesa,prática de leitura; lingua e sociedade,literatura; ética,Ensino Fundamental,Copyright,inglês,Transcrição textual,Online; offline (download),,Charles Kelly e Lawrence Kelly,,8º ano,56e59d9d69702d174f451100
"The diamond lens (parte 2), de Fitz-James O'Brien","http://www.manythings.org/voa/stories/The_Diamond_Lens_-_By_Fitz-James_O_Brien,_Part_2.html","American Stories for English Learners apresenta contos, fábulas e histórias americanas de autores consagrados como Edgar Allan Poe e Mark Twain. O site traz os textos escritos e sua gravação em MP3, com duração aproximada de 15 minutos. O conto ""The diamond lens"", de Fitz-James O'Brien, publicado em 1858, conta a história de um cientista que inventa um microscópio poderoso e descobre uma linda mulher que vive num mundo microscópico dentro de uma gota de água. A parte 2 descreve como o cientista conseguiu a lente perfeita e sua descoberta do mundo microscópico.","compreensão oral, compreensão de texto, literatura americana","EF08LI06, EF08LI07, EF08LI18",audio,Lingua inglesa,prática de leitura; lingua e sociedade,literatura; ética,Ensino Fundamental,Copyright,inglês,Transcrição textual,Online; offline (download),,Charles Kelly e Lawrence Kelly,,8º ano,56e59e0869702d17576e1200
"The cask of amontillado, de Edgar Allan Poe",http://www.manythings.org/voa/stories/The_Cask_of_Amontillado_-_By_Edgar_Allan_Poe.html,"American Stories for English Learners apresenta contos, fábulas e histórias americanas de autores consagrados como Edgar Allan Poe e Mark Twain. O site traz os textos escritos e sua gravação em MP3, com duração aproximada de 15 minutos. O conto ""The cask of amontillado"", de Edgar Allan Poe, publicado em 1846, conta a história de um homem que busca vingar-se de um amigo que, ele acredita, o ofendeu.","compreensão oral, compreensão de texto, literatura americana","EF08LI06, EF08LI07, EF08LI18",audio,Lingua inglesa,prática de leitura; lingua e sociedade,literatura; ética; bullying,Ensino Fundamental,Copyright,inglês,Transcrição textual,Online; offline (download),,Charles Kelly e Lawrence Kelly,,8º ano,56e59f0569702d174f4c1100
"The purloined letter, de Edgar Allan Poe",http://www.manythings.org/voa/stories/The_Purloined_Letter_-_By_Edgar_Alen_Poe.html,"American Stories for English Learners apresenta contos, fábulas e histórias americanas de autores consagrados como Edgar Allan Poe e Mark Twain. O site traz os textos escritos e sua gravação em MP3, com duração aproximada de 15 minutos. O conto ""The purloined letter"", de Edgar Allan Poe, publicado em 1844, é considerada das primeiras histórias de detetives moderna. Nesta história, o detetive parsiense C. Auguste Dupin investiga o roubo de uma carta com informações sigilosas que passam a ser usadas por um chantagista.","compreensão oral, compreensão de texto, literatura americana","EF08LI06, EF08LI07, EF08LI18",audio,Lingua inglesa,prática de leitura; lingua e sociedade,literatura,Ensino Fundamental,Copyright,inglês,Transcrição textual,Online; offline (download),,Charles Kelly e Lawrence Kelly,,8º ano,56e59f9169702d17577e1200
"The tell-tale heart, de Edgar Allan Poe",http://www.manythings.org/voa/stories/The_Tell-Tale_Heart_-_By_Edgar_Allan_Poe.html,"American Stories for English Learners apresenta contos, fábulas e histórias americanas de autores consagrados como Edgar Allan Poe e Mark Twain. O site traz os textos escritos e sua gravação em MP3, com duração aproximada de 15 minutos. O conto ""The tell-tale heart"", de Edgar Allan Poe, publicado em 1843, é considerada um clássico das histórias góticas. Nela, o narrador tenta convencer o leitor de sua sanidade mental, ao mesmo tempo em que descreve detalhes de um assassinato cometido por ele.","compreensão oral, compreensão de texto, literatura americana","EF08LI06, EF08LI07, EF08LI18",audio,Lingua inglesa,prática de leitura; lingua e sociedade,literatura,Ensino Fundamental,Copyright,inglês,Transcrição textual,Online; offline (download),,Charles Kelly e Lawrence Kelly,,8º ano,56e5a04a69702d174f5b1100
"The lady in black, de Eleanor H. Porter",http://www.manythings.org/voa/stories/The_Lady_in_Black_-_By_Eleanor_H_Porter.html,"American Stories for English Learners apresenta contos, fábulas e histórias americanas de autores consagrados como Edgar Allan Poe e Mark Twain. O site traz os textos escritos e sua gravação em MP3, com duração aproximada de 15 minutos. O conto ""The lady in black"", de Eleanor H. Porter, publicado em 1923, fala da relação entre pais e filhos e a dificuldade de uma mãe em superar a morte da filha.","compreensão oral, compreensão de texto, literatura americana","EF08LI06, EF08LI07, EF08LI18",audio,Lingua inglesa,prática de leitura; lingua e sociedade,literatura,Ensino Fundamental,Copyright,inglês,Transcrição textual,Online; offline (download),,Charles Kelly e Lawrence Kelly,,8º ano,56e5a0f269702d174f611100
The lady or the tiger,http://www.manythings.org/voa/stories/The_Lady_or_the_Tiger_-_By_Frank_R_Stockton.html,"American Stories for English Learners apresenta contos, fábulas e histórias americanas de autores consagrados como Edgar Allan Poe e Mark Twain. O site traz os textos escritos e sua gravação em MP3, com duração aproximada de 15 minutos. O conto ""A lady or the tiger?"" de Frank R. Stockton, publicado em 1882, conta a história de um reino onde a justiça era decidida pelo acaso: a escolha de uma entre duas portas, a resposta sobre a inocência ou a culpa do acusado estaria atrás da porta escolhida.","compreensão oral, compreensão de texto, literatura americana","EF08LI06, EF08LI07, EF08LI18",audio,Lingua inglesa,prática de leitura; língua e sociedade,literatura,Ensino Fundamental,Copyright,inglês,Transcrição textual,Online; offline (download),,Charles Kelly e Lawrence Kelly,,8º ano,56e5a18269702d174f631100
"A piece of red calico, de Frank Stockton",http://www.manythings.org/voa/stories/A_Piece_of_Red_Calico_-_by_Frank_Stockton.html,"American Stories for English Learners apresenta contos, fábulas e histórias americanas de autores consagrados como Edgar Allan Poe e Mark Twain. O site traz os textos escritos e sua gravação em MP3, com duração aproximada de 15 minutos. O conto ""A piece of red calico"", de Frank Stockton, publicado em 1884, conta de forma bem humorada a dificuldade que é fazer compras para outra pessoa.","compreensão oral, compreensão de texto, literatura americana","EF08LI06, EF08LI07, EF08LI18",audio,Lingua inglesa,prática de leitura; língua e sociedade,literatura,Ensino Fundamental,Copyright,inglês,Transcrição textual,Online; offline (download),,Charles Kelly e Lawrence Kelly,,8º ano,56e5a23569702d174f651100
"Luck, de Mark Twain",http://www.manythings.org/voa/stories/Luck_-_By_Mark_Twain.html,"American Stories for English Learners apresenta contos, fábulas e histórias americanas de autores consagrados como Edgar Allan Poe e Mark Twain. O site traz os textos escritos e sua gravação em MP3, com duração aproximada de 15 minutos. O conto ""Luck"", de Mark Twain, publicado em 1891, conta a história de um militar desastrado que é considerado herói por casualidades da sorte.","compreensão oral, compreensão de texto, literatura americana","EF08LI06, EF08LI07, EF08LI18",audio,Lingua inglesa,prática de leitura; língua e sociedade,literatura,Ensino Fundamental,Copyright,inglês,Transcrição textual,Online; offline (download),,Charles Kelly e Lawrence Kelly,,8º ano,56e5a2d169702d174f761100
"The californian's tale, de Mark Twain",http://www.manythings.org/voa/stories/The_Californian_s_Tale_-_By_Mark_Twain.html,"American Stories for English Learners apresenta contos, fábulas e histórias americanas de autores consagrados como Edgar Allan Poe e Mark Twain. O site traz os textos escritos e sua gravação em MP3, com duração aproximada de 15 minutos. O conto ""The californian's tale"", de Mark Twain, publicado em 1893, conta a história de Henry enquanto ele espera sua mulher chegar em casa.","compreensão oral, compreensão de texto, literatura americana","EF08LI06, EF08LI07, EF08LI18",audio,Lingua inglesa,prática de leitura; língua e sociedade,literatura,Ensino Fundamental,Copyright,inglês,Transcrição textual,Online; offline (download),,Charles Kelly e Lawrence Kelly,,8º ano,56e5a34169702d174f781100
"The celebrated jumping frog of Calaveras County, de Mark Twain",http://www.manythings.org/voa/stories/The_Celebrated_Jumping_Frog_of_Calaveras_County_-_By_Mark_Twain.html,"American Stories for English Learners apresenta contos, fábulas e histórias americanas de autores consagrados como Edgar Allan Poe e Mark Twain. O site traz os textos escritos e sua gravação em MP3, com duração aproximada de 15 minutos. No conto ""The celebrated jumping frog of Calaveras County"", de Mark Twain, publicado em 1865, o narrador conta a história de Jim Smiley, um jogador para quem tudo era motivo de aposta.","compreensão oral, compreensão de texto, literatura americana","EF08LI06, EF08LI07, EF08LI18",audio,Lingua inglesa,prática de leitura; língua e sociedade,literatura; ética,Ensino Fundamental,Copyright,inglês,Transcrição textual,Online; offline (download),,Charles Kelly e Lawrence Kelly,,8º ano,56e5a3d269702d1753fc1000
"The boy on graves-end road, de Caty Weaver",http://www.manythings.org/voa/stories/The_Boy_on_Graves_End_Road_-_By_Caty_Weaver.html,"American Stories for English Learners apresenta contos, fábulas e histórias americanas de autores consagrados como Edgar Allan Poe e Mark Twain. O site traz os textos escritos e sua gravação em MP3, com duração aproximada de 15 minutos. O conto ""The boy on graves-end road"", de Caty Weaver, publicado em 1835, foi criado para ser contado na época de Halloween, pois traz os elementos característicos: sobrenatural, medo, cemitério etc.","compreensão oral, compreensão de texto, literatura americana","EF08LI06, EF08LI07, EF08LI18",audio,Lingua inglesa,prática de leitura; língua e sociedade,literatura,Ensino Fundamental,Copyright,inglês,Transcrição textual,Online; offline (download),,Charles Kelly e Lawrence Kelly,,8º ano,56e5a46569702d174f7f1100
"The line of least resistance, de Edith Wharton",http://www.manythings.org/voa/stories/The_Line_of_Least_Resistance_-_By_Edith_Wharton.html,"American Stories for English Learners apresenta contos, fábulas e histórias americanas de autores consagrados como Edgar Allan Poe e Mark Twain. O site traz os textos escritos e sua gravação em MP3, com duração aproximada de 15 minutos. O conto ""The line of least resistance"", de Edith Wharton, publicado em 1900, descreve os sentimentos de um homem rico e bem sucedido ao encontrar uma carta de amor de seu sócio para sua esposa.","compreensão oral, compreensão de texto, literatura americana","EF08LI06, EF08LI07, EF08LI18",audio,Lingua inglesa,prática de leitura; língua e sociedade,literatura; ética,Ensino Fundamental,Copyright,inglês,Transcrição textual,Online; offline (download),,Charles Kelly e Lawrence Kelly,,8º ano,56e5a50869702d1757af1200
The story of three little pigs - part 1: The smart spender,http://www.threelittlepigs.ca/webisodes/499-the-story-of-three-little-pigs-part-1-the-smart-spender,"Kidoons traz animações com leitura interativa de contos de fadas e fábulas conhecidas, algumas com pequenas adaptações, e ainda há a possibilidade de acessar games sobre os personagens e temas dos contos. ""The story of three little pigs"" conta a história dos três porquinhos que fazem casas de qualidades diferentes. A parte 1 vai até o momento em que o lobo mau destrói a primeira casa, feita de palha.","compreensão oral, compreensão de texto, conto, vocabulário","EF06LI04, EF06LI07, EF06LI08, EF06LI09, EF06LI11, EF06LI12, EF06LI17",animação,Lingua inglesa,prática de leitura; gênero textual conto e suas caracte'risticas,literatura,Ensino Fundamental,Copyright,inglês,,online,,Kidoons Network,,6º ano,56e5ae1569702d17531b1100
Leaping match,http://www.leapingmatch.com/webisodes/505-leaping-match,"Kidoons traz animações com leitura interativa de contos de fadas e fábulas conhecidas, algumas com pequenas adaptações, e ainda há a possibilidade de acessar jogos e atividades sobre os personagens e temas dos contos. ""Leaping match"" é uma história baseada num conto de Hans Christian Andersen e conta a disputa entre a mosca, o gafanhoto e o saltador-do-lodo para ver quem salta mais alto.","compreensão oral, compreensão de texto, conto, vocabulário","EF06LI04, EF06LI07, EF06LI08, EF06LI09, EF06LI11, EF06LI12, EF06LI17",animação,Lingua inglesa,prática de leitura; gênero textual conto e suas caracte'risticas,literatura,Ensino Fundamental,Copyright,inglês,Trascrição textual,online,,Kidoons Network,,6º ano,56e5af1569702d1757de1200
Easy conversations - Daily life,https://www.eslfast.com/easydialogs/dailylife.htm,"Diálogos em inglês, divididos em temas referentes a situações cotidianas: onde se vive, animais de estimação, relacionamento etc. Os diálogos estão disponíveis em áudio e texto e pode-se fazer o download.","conversação,  prática de leitura, compreensão oral, vocabulário, situações cotidianas","EF08LI02, EF08LI03, EF08LI05, EF09LI03",audio,Lingua inglesa,Diálogo,,Ensino Fundamental,copyrright,inglês,Trascrição textual,"online, offline",,ESL fast,,6º ano,56e6242669702d1757381400
Easy conversations - School life,http://www.eslfast.com/easydialogs/schoollife.htm,"Diálogos em inglês, divididos em temas referentes a situações cotidianas, neste caso, a escola: disciplinas, materiais etc. Os diálogos estão disponíveis em áudio e texto e pode-se fazer o download.","conversação,  prática de leitura, compreensão oral, vocabulário, situações cotidianas","EF06LI17, EF06LI11, EF07LI03, EF07LI15, EF07LI16",audio,Lingua inglesa,Diálogo,,Ensino Fundamental,copyrright,inglês,Trascrição textual,"online, offline",,ESL fast,,6º ano; 7º  ano,56e624b169702d17535b1200
Easy conversations - Transportation,http://www.eslfast.com/easydialogs/transportation.htm,"Diálogos em inglês, divididos em temas referentes a situações cotidianas, neste caso, transportes: problemas, vandalismo, carro novo etc. Os diálogos estão disponíveis em áudio e texto e pode-se fazer o download.","conversação,  prática de leitura, compreensão oral, vocabulário, situações cotidianas","EF07LI03, EF07LI15, EF07LI16, EF08LI08, EF08LI17",audio,Lingua inglesa,Diálogo,,Ensino Fundamental,copyrright,inglês,Trascrição textual,"online, offline",,ESL fast,,7º ano; 8º ano,56e6252c69702d174f241300
Easy conversations - Entertainment,http://www.eslfast.com/easydialogs/entertainment.htm,"Diálogos em inglês, divididos em temas referentes a situações cotidianas, neste caso, entretenimento: cinema, shows, internet etc. Os diálogos estão disponíveis em áudio e texto e pode-se fazer o download.","conversação,  prática de leitura, compreensão oral, vocabulário, situações cotidianas","EF07LI03, EF07LI15, EF07LI16, EF08LI04, EF08LI12, EF08LI14, EF08LI15",audio,Lingua inglesa,Diálogo,,Ensino Fundamental,copyrright,inglês,Trascrição textual,"online, offline",,ESL fast,,7º ano; 8º ano,56e625ad69702d1753771200
Email Addresses - How to say them?,https://learnenglish.britishcouncil.org/en/english-emails/unit-1-email-addresses,"Como se pronuncia um endereço de e-mail em inglês? Neste ODA você encontrará como se pronuncia diferentes endereços de e-mail, além de organizá-los em ordem alfabética e em diferentes categorias.",,EF06LI11,,Lingua inglesa,,,Ensino Fundamental,,,,,,,,6º ano,577aaed469702d7ff5530100
    Bob Zoom - Indiozinhos ,http://www.youtube.com/watch?v=vOQvZKGo8m0,"Animação musical infantil com legenda que permite à criança, em fase inicial do processo de alfabetização, fazer o ajuste entre o que está cantando e o que está escrito.",Educação Infantil/1º ano EF,(EF08LP32)(EF08LP34) (EF09LP36)(EF09LP41),Animação,Lingua Portuguesa,Campo artístico-literário,Direitos de aprendizagem,Educação Infantil; Ensino Fundamental,Livre para uso e/ou compartilhamento,Português,Acessível para deficiência auditiva,Online/Offline (download),,BibVirt - USP,,,54b9451a69702d490a201600
   [Categorias Literárias]  A descoberta do conto: O búfalo e início de A armadilha: parte 1,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/2601/A%20Descoberta%20do%20Conto.%20a%20armadilha.mp3?sequence=1,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), apresenta o desfecho do conto “O búfalo”, de Clarice Lispector. Aborda o conto “A armadilha”, de Murilo Rubião.",Fundamental II -3º/9º,(EF69LP07),Jogo,Lingua Portuguesa,Campo das práticas de estudo e pesquisa,Direitos de aprendizagem,Ensino Fundamental,Licença Creative Commons,Português,,Online/Online,,CNEC,,3º ano; 9º ano,54b944a269702d490ab31400
   [Categorias Literárias] A descoberta do conto: Missa do galo ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/2674/A%20Descoberta%20do%20Conto.%20a%20missa%20do%20galo.%20parte%204.mp3?sequence=1,"Áudio com leitura do trecho final do conto Missa do Galo, de Machado de Assis.",Fundamental II -  8º/9º,(EF69LP07),Jogo,Lingua Portuguesa,Campo das práticas de estudo e pesquisa,Direitos de aprendizagem,Ensino Fundamental,,Português,,Online/Offline (download),,,,8º ano; 9º ano,54b944cb69702d490a141500
   [Categorias Literárias] Contos populares: parte 1 ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/2277/Contos%20Populares.mp3?sequence=1,"Episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de português (BibVirt), aborda a literatura infantil a partir de um conto popular, ""O quadro de pano"".",Fundamental II -  8º/9º,"(EF08LP32)(EF08LP34)
 (EF09LP36)(EF09LP41)",Áudio,Lingua Portuguesa,Campo artístico-literário,Direitos de aprendizagem,Ensino Fundamental,Livre para uso e/ou compartilhamento,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,8º ano; 9º ano,54b9471e69702d490a491900
   [Categorias Literárias] Viagem no tempo: Andersen: parte 7 ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/6904/Viagem%20no%20Tempo.%20parte%207.mp3?sequence=1,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de português (BibVirt), aborda o conto “O Patinho Feio”, do dinamarquês, Hans Christian Andersen.",Fundamental II -  8º/9º,"(EF08LP32)(EF08LP34)
 (EF09LP36)(EF09LP41)",Áudio,Lingua Portuguesa,Campo artístico-literário,Direitos de aprendizagem,Ensino Fundamental,Livre para uso e/ou compartilhamento,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,8º ano; 9º ano,54b9886669702d77f7290100
   [Categorias Literárias] Viagem no tempo: Lewis Carrol: parte 8 ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/6906/Viagem%20no%20Tempo.%20parte%208.mp3?sequence=1,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), aborda a história de “Alice no país das maravilhas”, do inglês, Lewis Carroll, pseudônimo de Charles Lutwidge Dodson.",Fundamental II -5º/6º,"(EF08LP32)(EF08LP34)
 (EF09LP36)(EF09LP41)",Áudio,Lingua Portuguesa,Campo artístico-literário,Direitos de aprendizagem,Ensino Fundamental,Livre para uso e/ou compartilhamento,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,5º ano; 6º ano,54b94b8569702d490a0b1e00
   [Categorias Literárias] Viagem no tempo: parte 9 ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/6909/Viagem%20no%20Tempo.%20parte%209.mp3?sequence=1,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), aborda a história de “Alice no país das maravilhas”, do inglês, Lewis Carroll, pseudônimo de Charles Lutwidge Dodson.",Fundamental II -1º/5º,"(EF08LP32)(EF08LP34)
 (EF09LP36)(EF09LP41)",Áudio,Lingua Portuguesa,Campo artístico-literário,Direitos de aprendizagem,Ensino Fundamental,Livre para uso e/ou compartilhamento,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,1º ano; 2º ano; 3º ano; 4º ano; 5º ano,54b9776569702d65e2cd0100
  [Categorias Literárias]   A usina atrás do morro: parte 5 ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/2756/134_A%20usina%20atr%c3%a1s%20do%20morro%20%285%29.mp3?sequence=1,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual do estudante de Língua Portuguesa (BibVirt), apresenta parte do conto de José J. Veiga, “A usina atrás do morro”. Despertar o interesse pela leitura. Propor análise gramatical e produção de texto.  ",Fundamental II -1º/5º,"(EF08LP32)(EF08LP34)
 (EF09LP36)(EF09LP41)",Áudio,Lingua Portuguesa,Campo artístico-literário,Direitos de aprendizagem,Ensino Fundamental,Livre para uso e/ou compartilhamento,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,1º ano; 2º ano; 3º ano; 4º ano; 5º ano,54b94d2869702d490a142000
  [Categorias Literárias]  A arte de entoar versos: parte 2 ,http://www.dominiopublico.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=86317,"Áudio do episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), que entrevista o poeta César Magalhães Borges, em série dedicada a “Poesia”. Nesse episódio, César Borges recita o poema “Bolhas de Sabão”, de sua autoria",Fundamental II -  8º/9º,"(EF08LP32)(EF08LP34)
 (EF09LP36)(EF09LP41)",Áudio,Lingua Portuguesa,Campo artístico-literário,Direitos de aprendizagem,Ensino Fundamental,Livre para uso e/ou compartilhamento,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,8º ano; 9º ano,54b9777469702d65e2e10100
"  [Categorias Literárias]  A arte de entoar versos: parte 3 - ok (Inseridos objetos que complementam o 3: 1,2,4,5)",http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/2593/167_A%20Arte%20de%20Entoar%20Versos.mp3?sequence=1,"Áudio do episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), que entrevista o poeta César Magalhães Borges, em série dedicada a “Poesia”. Cita Carlos Drummond de Andrade e seu estilo literário. Nesse episódio, César Borges recita o poema “Mosca”, de sua autoria",Fundamental II -  8º/9º,"(EF08LP32)(EF08LP34)
 (EF09LP36)(EF09LP41)",Áudio,Lingua Portuguesa,Campo artístico-literário,Direitos de aprendizagem,Ensino Fundamental,Livre para uso e/ou compartilhamento,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,8º ano; 9º ano,54b9471969702d490a441900
  [Categorias Literárias]  A arte de entoar versos: parte 4 ,http://www.dominiopublico.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=86318,"Áudio do episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), que entrevista o poeta César Magalhães Borges, em série dedicada a “Poesia”.  Nesse episódio, César Borges fala de sua vida e suas obras.",Fundamental II -  8º/9º,"(EF08LP32)(EF08LP34)
 (EF09LP36)(EF09LP41)",Áudio,Lingua Portuguesa,Campo artístico-literário,Direitos de aprendizagem,Ensino Fundamental,Livre para uso e/ou compartilhamento,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,8º ano; 9º ano,54b9794269702d65e2fa0300
  [Categorias Literárias]  A arte de entoar versos: parte 5 ,http://www.dominiopublico.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=86318,"Áudio do episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), que entrevista o poeta César Magalhães Borges, em série dedicada a “Poesia”.  Nesse episódio, César Borges fala de sua vida e suas obras.",Fundamental II -  8º/9º,"(EF08LP32)(EF08LP34)
 (EF09LP36)(EF09LP41)",Áudio,Lingua Portuguesa,Campo artístico-literário,Direitos de aprendizagem,Ensino Fundamental,Livre para uso e/ou compartilhamento,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,8º ano; 9º ano,54b9471d69702d490a481900
  [Categorias Literárias]  A descoberta do conto: A armadilha: parte 2 ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/2602/A%20Descoberta%20do%20Conto.%20a%20armadilha.%20parte%202.mp3?sequence=1,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), apresenta o desfecho do conto “A armadilha”, de Murilo Rubião.",Fundamental II -  8º/9º,"(EF08LP32)(EF08LP34)
 (EF09LP36)(EF09LP41)",Áudio,Lingua Portuguesa,Campo artístico-literário,Direitos de aprendizagem,Ensino Fundamental,Livre para uso e/ou compartilhamento,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,8º ano; 9º ano,54b9471f69702d490a4a1900
  [Categorias Literárias]  Áudio que aborda o significado do termo Categorias Literárias ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/2101/Categorias%20Literarias.mp3?sequence=1,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), que aborda o significado do termo Categorias Literárias. Apresenta as características, contexto histórico, referências literárias, das escolas literárias e destaca formas e modalidades de estruturação de um texto.",Fundamental II -  8º/9º,"(EF08LP32)(EF08LP34)
 (EF09LP36)(EF09LP41)",Áudio,Lingua Portuguesa,Campo artístico-literário,Direitos de aprendizagem,Ensino Fundamental,Livre para uso e/ou compartilhamento,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,8º ano; 9º ano,54b9475a69702d490a9a1900
  [Categorias Literárias]  Contos populares: parte 2 ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/2282/Contos%20Populares.%20parte%202.mp3?sequence=1,"Áudio  com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), que aborda os Contos Populares, que apresenta a segunda parte do conto “O quadro de pano”.",Fundamental II -  8º/9º,"(EF08LP32)(EF08LP34)
 (EF09LP36)(EF09LP41)",Áudio,Lingua Portuguesa,               Campo artístico-literário,Direitos de aprendizagem,Ensino Fundamental,Livre para uso e/ou compartilhamento,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,8º ano; 9º ano,54b945ab69702d490a491700
  [Categorias Literárias]  Contos populares: parte 3 ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/2284/Contos%20Populares.%20parte%203.mp3?sequence=1,"Áudio  com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), que apresenta a terceira parte do conto “O quadro de pano”.",Fundamental II -8º/9º,"(EF08LP32)(EF08LP34)
 (EF09LP36)(EF09LP41)",Áudio,Lingua Portuguesa,Campo artístico-literário,Direitos de aprendizagem,Ensino Fundamental,Livre para uso e/ou compartilhamento,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,8º ano; 9º ano,54b94d3a69702d490a302000
  [Categorias Literárias]  Contos populares: parte 4 ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/2285/Contos%20Populares.%20parte%204.mp3?sequence=1,"Áudio  com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), que apresenta a quarta parte do conto “O quadro de pano”.",Fundamental II -  8º/9º,"(EF08LP32)(EF08LP34)
 (EF09LP36)(EF09LP41)",Áudio,Lingua Portuguesa,Campo artístico-literário,Direitos de aprendizagem,Ensino Fundamental,Livre para uso e/ou compartilhamento,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,8º ano; 9º ano,54b9462869702d490afd1700
